data_somministrazione,area,vaccinazioni,booster
2021-01-22,SIC,1044,0
2021-01-22,TOS,2339,0
2021-01-22,UMB,263,0
2021-01-22,VDA,36,0
2021-01-22,VEN,1051,0
2021-01-23,ABR,208,0
2021-01-23,BAS,739,0
2021-01-23,CAL,43,0
2021-01-23,CAM,3571,0
2021-01-23,EMR,2010,0
2021-01-23,FVG,824,0
2021-01-23,LAZ,6634,0
2021-01-23,LIG,661,0
2021-01-23,LOM,203,0
2021-01-23,MAR,437,0
2021-01-23,MOL,0,0
2021-01-23,PAB,196,0
2021-01-23,PAT,196,0
2021-01-23,PIE,3437,0
2021-01-23,PUG,2167,0
2021-01-23,SAR,62,0
2021-01-23,SIC,4313,0
2021-01-23,TOS,3334,0
2021-01-23,UMB,300,0
2021-01-23,VDA,0,0
2021-01-23,VEN,4020,0
2021-01-24,ABR,44,0
2021-01-24,BAS,820,0
2021-01-24,CAL,6,0
2021-01-24,CAM,3748,0
2021-01-24,EMR,2150,0
2021-01-24,FVG,311,0
2021-01-24,LAZ,5091,0
2021-01-24,LIG,646,0
2021-01-24,LOM,664,0
2021-01-24,MAR,879,0
2021-01-24,MOL,0,0
2021-01-24,PAB,12,0
2021-01-24,PAT,336,0
2021-01-24,PIE,2745,0
2021-01-24,PUG,1524,0
2021-01-24,SAR,87,0
2021-01-24,SIC,4226,0
2021-01-24,TOS,3150,0
2021-01-24,UMB,276,0
2021-01-24,VDA,0,0
2021-01-24,VEN,4080,0
2021-01-25,ABR,1593,0
2021-01-25,BAS,983,0
2021-01-25,CAL,941,0
2021-01-25,CAM,5586,0
2021-01-25,EMR,6271,0
2021-01-25,FVG,1414,0
2021-01-25,LAZ,7356,0
2021-01-25,LIG,2267,0
2021-01-25,LOM,6625,0
2021-01-25,MAR,1507,0
2021-01-25,MOL,317,0
2021-01-25,PAB,493,0
2021-01-25,PAT,843,0
2021-01-25,PIE,5343,0
2021-01-25,PUG,3414,0
2021-01-25,SAR,589,0
2021-01-25,SIC,7204,0
2021-01-25,TOS,4891,0
2021-01-25,UMB,678,0
2021-01-25,VDA,149,0
2021-01-25,VEN,6306,0
2021-01-26,ABR,1522,0
2021-01-26,BAS,716,0
2021-01-26,CAL,1635,0
2021-01-26,CAM,6996,0
2021-01-26,EMR,8133,0
2021-01-26,FVG,1782,0
2021-01-26,LAZ,7254,0
2021-01-26,LIG,2481,0
2021-01-26,LOM,8057,0
2021-01-26,MAR,1943,0
2021-01-26,MOL,442,0
2021-01-26,PAB,814,0
2021-01-26,PAT,555,0
2021-01-26,PIE,5703,0
2021-01-26,PUG,4821,0
2021-01-26,SAR,1356,0
2021-01-26,SIC,9386,0
2021-01-26,TOS,5182,0
2021-01-26,UMB,846,0
2021-01-26,VDA,148,0
2021-01-26,VEN,6765,0
2021-01-27,ABR,1339,0
2021-01-27,BAS,310,0
2021-01-27,CAL,1108,0
2021-01-27,CAM,7584,0
2021-01-27,EMR,7913,0
2021-01-27,FVG,836,0
2021-01-27,LAZ,5140,0
2021-01-27,LIG,1614,0
2021-01-27,LOM,7273,0
2021-01-27,MAR,2005,0
2021-01-27,MOL,670,0
2021-01-27,PAB,84,0
2021-01-27,PAT,761,0
2021-01-27,PIE,3270,0
2021-01-27,PUG,3993,0
2021-01-27,SAR,1360,0
2021-01-27,SIC,7136,0
2021-01-27,TOS,4634,0
2021-01-27,UMB,871,0
2021-01-27,VDA,76,0
2021-01-27,VEN,6893,0
2021-01-28,ABR,1424,0
2021-01-28,BAS,807,0
2021-01-28,CAL,2226,0
2021-01-28,CAM,8712,0
2021-01-28,EMR,9921,0
2021-01-28,FVG,1919,0
2021-01-28,LAZ,7516,0
2021-01-28,LIG,2821,0
2021-01-28,LOM,11499,0
2021-01-28,MAR,1936,0
2021-01-28,MOL,599,0
2021-01-28,PAB,867,0
2021-01-28,PAT,505,0
2021-01-28,PIE,5331,0
2021-01-28,PUG,5057,0
2021-01-28,SAR,2972,0
2021-01-28,SIC,8690,0
2021-01-28,TOS,5936,0
2021-01-28,UMB,1329,0
2021-01-28,VDA,239,0
2021-01-28,VEN,9037,0
2021-01-29,ABR,1315,0
2021-01-29,BAS,559,0
2021-01-29,CAL,1857,0
2021-01-29,CAM,10020,0
2021-01-29,EMR,10156,0
2021-01-29,FVG,2187,0
2021-01-29,LAZ,7503,0
2021-01-29,LIG,3048,0
2021-01-29,LOM,12873,0
2021-01-29,MAR,1836,0
2021-01-29,MOL,421,0
2021-01-29,PAB,1495,0
2021-01-29,PAT,1391,0
2021-01-29,PIE,5593,0
2021-01-29,PUG,6004,0
2021-01-29,SAR,3004,0
2021-01-29,SIC,8777,0
2021-01-29,TOS,5854,0
2021-01-29,UMB,1215,0
2021-01-29,VDA,319,0
2021-01-29,VEN,8643,0
2021-01-30,ABR,1452,0
2021-01-30,BAS,586,0
2021-01-30,CAL,1924,0
2021-01-30,CAM,10690,0
2021-01-30,EMR,9970,0
2021-01-30,FVG,2033,0
2021-01-30,LAZ,6217,0
2021-01-30,LIG,1652,0
2021-01-30,LOM,12220,0
2021-01-30,MAR,1882,0
2021-01-30,MOL,453,0
2021-01-30,PAB,501,0
2021-01-30,PAT,245,0
2021-01-30,PIE,5892,0
2021-01-30,PUG,5175,0
2021-01-30,SAR,3590,0
2021-01-30,SIC,7607,0
2021-01-30,TOS,4438,0
2021-01-30,UMB,1592,0
2021-01-30,VDA,426,0
2021-01-30,VEN,8064,0
2021-01-31,ABR,1237,0
2021-01-31,BAS,78,0
2021-01-31,CAL,988,0
2021-01-31,CAM,8051,0
2021-01-31,EMR,7478,0
2021-01-31,FVG,2364,0
2021-01-31,LAZ,3989,0
2021-01-31,LIG,626,0
2021-01-31,LOM,9800,0
2021-01-31,MAR,1824,0
2021-01-31,MOL,264,0
2021-01-31,PAB,0,0
2021-01-31,PAT,76,0
2021-01-31,PIE,4114,0
2021-01-31,PUG,1756,0
2021-01-31,SAR,2116,0
2021-01-31,SIC,3953,0
2021-01-31,TOS,2949,0
2021-01-31,UMB,1075,0
2021-01-31,VDA,234,0
2021-01-31,VEN,4378,0
2021-02-01,ABR,1365,0
2021-02-01,BAS,203,0
2021-02-01,CAL,2334,0
2021-02-01,CAM,3878,0
2021-02-01,EMR,9981,0
2021-02-01,FVG,2121,0
2021-02-01,LAZ,5353,0
2021-02-01,LIG,2478,0
2021-02-01,LOM,15833,0
2021-02-01,MAR,1267,0
2021-02-01,MOL,550,0
2021-02-01,PAB,1471,0
2021-02-01,PAT,1198,0
2021-02-01,PIE,8249,0
2021-02-01,PUG,3632,0
2021-02-01,SAR,1330,0
2021-02-01,SIC,5670,0
2021-02-01,TOS,4996,0
2021-02-01,UMB,1283,0
2021-02-01,VDA,320,0
2021-02-01,VEN,8396,0
2021-02-02,ABR,1546,0
2021-02-02,BAS,195,0
2021-02-02,CAL,2204,0
2021-02-02,CAM,5295,0
2021-02-02,EMR,8970,0
2021-02-02,FVG,2307,0
2021-02-02,LAZ,5293,0
2021-02-02,LIG,2551,0
2021-02-02,LOM,19532,0
2021-02-02,MAR,1123,0
2021-02-02,MOL,325,0
2021-02-02,PAB,1749,0
2021-02-02,PAT,781,0
2021-02-02,PIE,9605,0
2021-02-02,PUG,3794,0
2021-02-02,SAR,1276,0
2021-02-02,SIC,4715,0
2021-02-02,TOS,3552,0
2021-02-02,UMB,959,0
2021-02-02,VDA,291,0
2021-02-02,VEN,6107,0
2021-02-03,ABR,1644,0
2021-02-03,BAS,644,0
2021-02-03,CAL,2364,0
2021-02-03,CAM,8038,0
2021-02-03,EMR,8398,0
2021-02-03,FVG,2650,0
2021-02-03,LAZ,5549,0
2021-02-03,LIG,2279,0
2021-02-03,LOM,24676,0
2021-02-03,MAR,2013,0
2021-02-03,MOL,408,0
2021-02-03,PAB,1513,0
2021-02-03,PAT,466,0
2021-02-03,PIE,9758,0
2021-02-03,PUG,4362,0
2021-02-03,SAR,697,0
2021-02-03,SIC,5243,0
2021-02-03,TOS,3988,0
2021-02-03,UMB,710,0
2021-02-03,VDA,340,0
2021-02-03,VEN,5479,0
2021-02-04,ABR,1076,0
2021-02-04,BAS,1052,0
2021-02-04,CAL,3041,0
2021-02-04,CAM,6646,0
2021-02-04,EMR,8704,0
2021-02-04,FVG,2739,0
2021-02-04,LAZ,5354,0
2021-02-04,LIG,2653,0
2021-02-04,LOM,26002,0
2021-02-04,MAR,2278,0
2021-02-04,MOL,687,0
2021-02-04,PAB,2024,0
2021-02-04,PAT,591,0
2021-02-04,PIE,9858,0
2021-02-04,PUG,4816,0
2021-02-04,SAR,1395,0
2021-02-04,SIC,5337,0
2021-02-04,TOS,3296,0
2021-02-04,UMB,759,0
2021-02-04,VDA,288,0
2021-02-04,VEN,6832,0
2021-02-05,ABR,749,0
2021-02-05,BAS,940,0
2021-02-05,CAL,3392,0
2021-02-05,CAM,5143,0
2021-02-05,EMR,7703,0
2021-02-05,FVG,2581,0
2021-02-05,LAZ,6196,0
2021-02-05,LIG,2446,0
2021-02-05,LOM,23527,0
2021-02-05,MAR,1721,0
2021-02-05,MOL,544,0
2021-02-05,PAB,3257,0
2021-02-05,PAT,554,0
2021-02-05,PIE,9182,0
2021-02-05,PUG,4355,0
2021-02-05,SAR,1491,0
2021-02-05,SIC,4686,0
2021-02-05,TOS,3837,0
2021-02-05,UMB,826,0
2021-02-05,VDA,194,0
2021-02-05,VEN,6978,0
2021-02-06,ABR,1014,0
2021-02-06,BAS,784,0
2021-02-06,CAL,2523,0
2021-02-06,CAM,3261,0
2021-02-06,EMR,5503,0
2021-02-06,FVG,1144,0
2021-02-06,LAZ,5445,0
2021-02-06,LIG,1750,0
2021-02-06,LOM,14308,0
2021-02-06,MAR,1949,0
2021-02-06,MOL,403,0
2021-02-06,PAB,2625,0
2021-02-06,PAT,145,0
2021-02-06,PIE,7934,0
2021-02-06,PUG,2987,0
2021-02-06,SAR,1422,0
2021-02-06,SIC,3260,0
2021-02-06,TOS,3240,0
2021-02-06,UMB,454,0
2021-02-06,VDA,200,0
2021-02-06,VEN,3387,0
2021-02-07,ABR,582,0
2021-02-07,BAS,339,0
2021-02-07,CAL,735,0
2021-02-07,CAM,789,0
2021-02-07,EMR,3076,0
2021-02-07,FVG,1197,0
2021-02-07,LAZ,4584,0
2021-02-07,LIG,406,0
2021-02-07,LOM,6992,0
2021-02-07,MAR,1530,0
2021-02-07,MOL,47,0
2021-02-07,PAB,2368,0
2021-02-07,PAT,0,0
2021-02-07,PIE,2689,0
2021-02-07,PUG,1337,0
2021-02-07,SAR,900,0
2021-02-07,SIC,1653,0
2021-02-07,TOS,1932,0
2021-02-07,UMB,55,0
2021-02-07,VDA,102,0
2021-02-07,VEN,1606,0
2021-02-08,ABR,709,0
2021-02-08,BAS,412,0
2021-02-08,CAL,1215,0
2021-02-08,CAM,842,0
