data_somministrazione,delta_T,cum_vaccinazioni,cum_booster
2021-04-17,120,4711886,0
2021-04-17,180,4711886,0
2021-04-17,270,4711886,0
2021-04-18,-1,4770482,0
2021-04-18,30,2257948,0
2021-04-18,90,4757845,0
2021-04-18,120,4770482,0
2021-04-18,180,4770482,0
2021-04-18,270,4770482,0
2021-04-19,-1,4863918,0
2021-04-19,30,2286646,0
2021-04-19,90,4849386,0
2021-04-19,120,4863918,0
2021-04-19,180,4863918,0
2021-04-19,270,4863918,0
2021-04-20,-1,4967694,0
2021-04-20,30,2343113,0
2021-04-20,90,4948503,0
2021-04-20,120,4967694,0
2021-04-20,180,4967694,0
2021-04-20,270,4967694,0
2021-04-21,-1,5093036,0
2021-04-21,30,2398954,0
2021-04-21,90,5053840,0
2021-04-21,120,5093036,0
2021-04-21,180,5093036,0
2021-04-21,270,5093036,0
2021-04-22,-1,5236561,0
2021-04-22,30,2466665,0
2021-04-22,90,5183145,0
2021-04-22,120,5236561,0
2021-04-22,180,5236561,0
2021-04-22,270,5236561,0
2021-04-23,-1,5375311,0
2021-04-23,30,2514492,0
2021-04-23,90,5288571,0
2021-04-23,120,5375311,0
2021-04-23,180,5375311,0
2021-04-23,270,5375311,0
2021-04-24,-1,5499765,0
2021-04-24,30,2549124,0
2021-04-24,90,5382251,0
2021-04-24,120,5499765,0
2021-04-24,180,5499765,0
2021-04-24,270,5499765,0
2021-04-25,-1,5561237,0
2021-04-25,30,2526956,0
2021-04-25,90,5379019,0
2021-04-25,120,5561237,0
2021-04-25,180,5561237,0
2021-04-25,270,5561237,0
2021-04-26,-1,5659146,0
2021-04-26,30,2552908,0
2021-04-26,90,5400463,0
2021-04-26,120,5659126,0
2021-04-26,180,5659146,0
2021-04-26,270,5659146,0
2021-04-27,-1,5787520,0
2021-04-27,30,2637098,0
2021-04-27,90,5464027,0
2021-04-27,120,5787498,0
2021-04-27,180,5787520,0
2021-04-27,270,5787520,0
2021-04-28,-1,5943912,0
2021-04-28,30,2722642,0
2021-04-28,90,5531164,0
2021-04-28,120,5943889,0
2021-04-28,180,5943912,0
2021-04-28,270,5943912,0
2021-04-29,-1,6139533,0
2021-04-29,30,2836856,0
2021-04-29,90,5632789,0
2021-04-29,120,6139500,0
2021-04-29,180,6139533,0
2021-04-29,270,6139533,0
2021-04-30,-1,6354146,0
2021-04-30,30,2955210,0
2021-04-30,90,5760859,0
2021-04-30,120,6354036,0
2021-04-30,180,6354146,0
2021-04-30,270,6354146,0
2021-05-01,-1,6528287,0
2021-05-01,30,3034022,0
2021-05-01,90,5877675,0
2021-05-01,120,6528152,0
2021-05-01,180,6528287,0
2021-05-01,270,6528287,0
2021-05-02,-1,6664096,0
2021-05-02,30,3085746,0
2021-05-02,90,5931649,0
2021-05-02,120,6663818,0
2021-05-02,180,6664096,0
2021-05-02,270,6664096,0
2021-05-03,-1,6806163,0
2021-05-03,30,3163509,0
2021-05-03,90,5991581,0
2021-05-03,120,6805778,0
2021-05-03,180,6806163,0
2021-05-03,270,6806163,0
2021-05-04,-1,6964876,0
2021-05-04,30,3300498,0
2021-05-04,90,6059187,0
2021-05-04,120,6964255,0
2021-05-04,180,6964876,0
2021-05-04,270,6964876,0
2021-05-05,-1,7135422,0
2021-05-05,30,3430726,0
2021-05-05,90,6134349,0
2021-05-05,120,7134521,0
2021-05-05,180,7135422,0
2021-05-05,270,7135422,0
2021-05-06,-1,7333246,0
2021-05-06,30,3547214,0
2021-05-06,90,6241906,0
2021-05-06,120,7332096,0
2021-05-06,180,7333246,0
2021-05-06,270,7333246,0
2021-05-07,-1,7547119,0
2021-05-07,30,3665245,0
2021-05-07,90,6392330,0
2021-05-07,120,7545646,0
2021-05-07,180,7547119,0
2021-05-07,270,7547119,0
2021-05-08,-1,7760558,0
2021-05-08,30,3783425,0
2021-05-08,90,6572835,0
2021-05-08,120,7758707,0
2021-05-08,180,7760558,0
2021-05-08,270,7760558,0
2021-05-09,-1,7903775,0
2021-05-09,30,3838141,0
2021-05-09,90,6675631,0
2021-05-09,120,7901642,0
2021-05-09,180,7903775,0
2021-05-09,270,7903775,0
2021-05-10,-1,8068875,0
2021-05-10,30,3929206,0
2021-05-10,90,6807850,0
2021-05-10,120,8066577,0
2021-05-10,180,8068875,0
2021-05-10,270,8068875,0
2021-05-11,-1,8243885,0
2021-05-11,30,4059447,0
2021-05-11,90,6954425,0
2021-05-11,120,8241279,0
2021-05-11,180,8243885,0
2021-05-11,270,8243885,0
2021-05-12,-1,8423109,0
2021-05-12,30,4171749,0
2021-05-12,90,7113244,0
2021-05-12,120,8420220,0
2021-05-12,180,8423109,0
2021-05-12,270,8423109,0
2021-05-13,-1,8626531,0
2021-05-13,30,4302577,0
2021-05-13,90,7300415,0
2021-05-13,120,8623225,0
2021-05-13,180,8626531,0
2021-05-13,270,8626531,0
2021-05-14,-1,8849474,0
2021-05-14,30,4439971,0
2021-05-14,90,7516079,0
2021-05-14,120,8845664,0
2021-05-14,180,8849474,0
2021-05-14,270,8849474,0
2021-05-15,-1,9059866,0
2021-05-15,30,4544939,0
2021-05-15,90,7723609,0
2021-05-15,120,9055737,0
2021-05-15,180,9059866,0
